Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Biological Process	GO:0002684	positive regulation of immune system process	 	1.689E-11	3.705E-8	3.705E-8	3.064E-7	19	1235	SELL,CD27,ANXA1,TNFSF13B,B2M,MYO1F,FOXP1,RPS19,TNFRSF18,CCR6,CCR7,FYB1,LEF1,KLRB1,LGALS1,IL6ST,LGALS3,IL7R,TNFRSF4
GO: Biological Process	GO:0002682	regulation of immune system process	 	2.015E-10	4.420E-7	2.210E-7	1.828E-6	21	1812	SELL,CD27,ANXA1,TNFSF13B,B2M,MYO1F,FOXP1,RPS19,TNFRSF18,CCR6,CCR7,LYAR,FYB1,LEF1,CTSH,KLRB1,LGALS1,IL6ST,LGALS3,IL7R,TNFRSF4
GO: Biological Process	GO:0002252	immune effector process	 	5.457E-10	1.197E-6	3.991E-7	3.301E-6	15	842	CD27,ANXA1,B2M,MYO1F,FOXP1,RPS19,CCR6,CCR7,LEF1,CTSH,KLRB1,LGALS1,LGALS3,IL7R,TNFRSF4
GO: Biological Process	GO:0001775	cell activation	 	1.410E-9	3.094E-6	7.734E-7	6.397E-6	18	1410	TIMP1,CD27,ANXA1,TNFSF13B,B2M,MYO1F,FOXP1,CCR6,CCR7,ACTN1,FYB1,LEF1,KLRB1,LGALS1,IL6ST,LGALS3,IL7R,TNFRSF4
GO: Biological Process	GO:0042981	regulation of apoptotic process	 	5.026E-9	1.103E-5	1.611E-6	1.332E-5	20	1939	SELL,TIMP1,CD27,ANXA1,FOXP1,TNFRSF18,LTB,CCR7,ACTN1,PTGER2,LEF1,CTSH,YWHAH,LGALS1,IL6ST,RPL10,LGALS3,IL7R,EEF1A1,TNFRSF4
GO: Biological Process	GO:0007155	cell adhesion	 	5.372E-9	1.179E-5	1.611E-6	1.332E-5	19	1735	SELL,S100A10,S100A11,IL32,CD27,ANXA1,ANXA2,TNFSF13B,B2M,MYO1F,TNFRSF18,RPSA,CCR7,ACTN1,LEF1,LGALS1,IL6ST,LGALS3,IL7R
GO: Biological Process	GO:0030097	hemopoiesis	 	5.375E-9	1.179E-5	1.611E-6	1.332E-5	18	1534	RPLP1,CD27,ANXA1,ANXA2,TNFSF13B,B2M,TMSB4X,FOXP1,RPS19,CCR6,CCR7,ACTN1,RPS27,LYAR,LEF1,LGALS1,LGALS3,IL7R
GO: Biological Process	GO:0030335	positive regulation of cell migration	 	6.596E-9	1.447E-5	1.611E-6	1.332E-5	13	706	SELL,S100A11,ANXA1,MYO1F,TMSB4X,FOXP1,TNFRSF18,CCR6,CCR7,LEF1,CTSH,IL6ST,LGALS3
GO: Biological Process	GO:0060284	regulation of cell development	 	6.608E-9	1.450E-5	1.611E-6	1.332E-5	16	1181	VIM,S100A10,CD27,ANXA1,ANXA2,B2M,FOXP1,RPS19,CCR6,CCR7,LEF1,YWHAH,LGALS1,IL6ST,LGALS3,IL7R
GO: Biological Process	GO:0042110	T cell activation	 	7.931E-9	1.740E-5	1.663E-6	1.375E-5	13	717	CD27,ANXA1,TNFSF13B,B2M,FOXP1,CCR6,CCR7,LEF1,LGALS1,IL6ST,LGALS3,IL7R,TNFRSF4
GO: Biological Process	GO:0043067	regulation of programmed cell death	 	8.495E-9	1.864E-5	1.663E-6	1.375E-5	20	1999	SELL,TIMP1,CD27,ANXA1,FOXP1,TNFRSF18,LTB,CCR7,ACTN1,PTGER2,LEF1,CTSH,YWHAH,LGALS1,IL6ST,RPL10,LGALS3,IL7R,EEF1A1,TNFRSF4
GO: Biological Process	GO:0050863	regulation of T cell activation	 	9.880E-9	2.168E-5	1.663E-6	1.375E-5	11	469	CD27,ANXA1,TNFSF13B,B2M,CCR6,CCR7,LEF1,LGALS1,IL6ST,LGALS3,IL7R
GO: Biological Process	GO:0050776	regulation of immune response	 	1.099E-8	2.412E-5	1.663E-6	1.375E-5	15	1050	ANXA1,TNFSF13B,B2M,MYO1F,FOXP1,RPS19,CCR6,CCR7,LYAR,FYB1,CTSH,KLRB1,IL6ST,LGALS3,IL7R
GO: Biological Process	GO:2000147	positive regulation of cell motility	 	1.100E-8	2.414E-5	1.663E-6	1.375E-5	13	737	SELL,S100A11,ANXA1,MYO1F,TMSB4X,FOXP1,TNFRSF18,CCR6,CCR7,LEF1,CTSH,IL6ST,LGALS3
GO: Biological Process	GO:0045321	leukocyte activation	 	1.137E-8	2.494E-5	1.663E-6	1.375E-5	16	1227	CD27,ANXA1,TNFSF13B,B2M,MYO1F,FOXP1,CCR6,CCR7,FYB1,LEF1,KLRB1,LGALS1,IL6ST,LGALS3,IL7R,TNFRSF4
GO: Biological Process	GO:0040017	positive regulation of locomotion	 	1.535E-8	3.369E-5	2.087E-6	1.726E-5	13	758	SELL,S100A11,ANXA1,MYO1F,TMSB4X,FOXP1,TNFRSF18,CCR6,CCR7,LEF1,CTSH,IL6ST,LGALS3
GO: Biological Process	GO:0007159	leukocyte cell-cell adhesion	 	1.617E-8	3.548E-5	2.087E-6	1.726E-5	11	492	SELL,CD27,ANXA1,TNFSF13B,B2M,CCR7,LEF1,LGALS1,IL6ST,LGALS3,IL7R
GO: Biological Process	GO:0030334	regulation of cell migration	 	1.769E-8	3.880E-5	2.156E-6	1.783E-5	16	1266	SELL,VIM,S100A11,TIMP1,ANXA1,MYO1F,TMSB4X,FOXP1,TMSB10,TNFRSF18,CCR6,CCR7,LEF1,CTSH,IL6ST,LGALS3
GO: Biological Process	GO:0051249	regulation of lymphocyte activation	 	2.065E-8	4.531E-5	2.385E-6	1.972E-5	12	634	CD27,ANXA1,TNFSF13B,B2M,CCR6,CCR7,LEF1,LGALS1,IL6ST,LGALS3,IL7R,TNFRSF4
GO: Biological Process	GO:0098609	cell-cell adhesion	 	2.365E-8	5.189E-5	2.594E-6	2.146E-5	15	1112	SELL,S100A11,CD27,ANXA1,ANXA2,TNFSF13B,B2M,RPSA,CCR7,ACTN1,LEF1,LGALS1,IL6ST,LGALS3,IL7R
GO: Biological Process	GO:0034097	response to cytokine	 	2.540E-8	5.574E-5	2.654E-6	2.195E-5	15	1118	SELL,VIM,RPLP0,TIMP1,ANXA1,TNFSF13B,TMSB4X,FOXP1,TNFRSF18,CCR6,CCR7,LEF1,IL6ST,IL7R,TNFRSF4
GO: Biological Process	GO:0051251	positive regulation of lymphocyte activation	 	3.598E-8	7.893E-5	3.432E-6	2.839E-5	10	411	CD27,ANXA1,TNFSF13B,B2M,CCR7,LEF1,LGALS1,IL6ST,IL7R,TNFRSF4
GO: Biological Process	GO:0002697	regulation of immune effector process	 	3.598E-8	7.894E-5	3.432E-6	2.839E-5	11	532	CD27,ANXA1,B2M,FOXP1,RPS19,CCR6,CCR7,KLRB1,LGALS3,IL7R,TNFRSF4
GO: Biological Process	GO:2000145	regulation of cell motility	 	3.842E-8	8.430E-5	3.512E-6	2.905E-5	16	1338	SELL,VIM,S100A11,TIMP1,ANXA1,MYO1F,TMSB4X,FOXP1,TMSB10,TNFRSF18,CCR6,CCR7,LEF1,CTSH,IL6ST,LGALS3
GO: Biological Process	GO:0050870	positive regulation of T cell activation	 	4.070E-8	8.930E-5	3.572E-6	2.954E-5	9	309	CD27,ANXA1,TNFSF13B,B2M,CCR7,LEF1,LGALS1,IL6ST,IL7R
GO: Biological Process	GO:0048872	homeostasis of number of cells	 	5.048E-8	1.107E-4	4.100E-6	3.391E-5	11	550	RPLP1,ANXA1,TNFSF13B,B2M,RPS19,CCR7,RPS27,LYAR,LEF1,IL7R,TNFRSF4
GO: Biological Process	GO:0043066	negative regulation of apoptotic process	 	5.075E-8	1.113E-4	4.100E-6	3.391E-5	15	1178	TIMP1,CD27,ANXA1,FOXP1,TNFRSF18,CCR7,PTGER2,LEF1,CTSH,YWHAH,IL6ST,RPL10,LGALS3,IL7R,TNFRSF4
GO: Biological Process	GO:0046649	lymphocyte activation	 	5.232E-8	1.148E-4	4.100E-6	3.391E-5	14	1005	CD27,ANXA1,TNFSF13B,B2M,FOXP1,CCR6,CCR7,LEF1,KLRB1,LGALS1,IL6ST,LGALS3,IL7R,TNFRSF4
GO: Biological Process	GO:2000106	regulation of leukocyte apoptotic process	 	5.893E-8	1.293E-4	4.458E-6	3.687E-5	7	149	CD27,ANXA1,FOXP1,CCR7,LGALS3,IL7R,TNFRSF4
GO: Biological Process	GO:1903706	regulation of hemopoiesis	 	6.631E-8	1.455E-4	4.850E-6	4.011E-5	11	565	CD27,ANXA1,B2M,FOXP1,RPS19,CCR6,CCR7,LEF1,LGALS1,LGALS3,IL7R
GO: Biological Process	GO:0032101	regulation of response to external stimulus	 	6.934E-8	1.521E-4	4.898E-6	4.051E-5	16	1396	SELL,HOPX,ANXA1,ANXA2,B2M,MYO1F,TMSB4X,FOXP1,RPS19,TMSB10,CCR6,CCR7,LYAR,KLRB1,LGALS1,IL6ST
GO: Biological Process	GO:0040012	regulation of locomotion	 	7.143E-8	1.567E-4	4.898E-6	4.051E-5	16	1399	SELL,VIM,S100A11,TIMP1,ANXA1,MYO1F,TMSB4X,FOXP1,TMSB10,TNFRSF18,CCR6,CCR7,LEF1,CTSH,IL6ST,LGALS3
GO: Biological Process	GO:0043069	negative regulation of programmed cell death	 	7.788E-8	1.709E-4	5.178E-6	4.282E-5	15	1217	TIMP1,CD27,ANXA1,FOXP1,TNFRSF18,CCR7,PTGER2,LEF1,CTSH,YWHAH,IL6ST,RPL10,LGALS3,IL7R,TNFRSF4
GO: Biological Process	GO:1903039	positive regulation of leukocyte cell-cell adhesion	 	8.328E-8	1.827E-4	5.374E-6	4.445E-5	9	336	CD27,ANXA1,TNFSF13B,B2M,CCR7,LEF1,LGALS1,IL6ST,IL7R
GO: Biological Process	GO:1903037	regulation of leukocyte cell-cell adhesion	 	8.578E-8	1.882E-4	5.377E-6	4.448E-5	10	451	CD27,ANXA1,TNFSF13B,B2M,CCR7,LEF1,LGALS1,IL6ST,LGALS3,IL7R
GO: Biological Process	GO:0045785	positive regulation of cell adhesion	 	1.027E-7	2.253E-4	6.205E-6	5.132E-5	11	590	S100A10,CD27,ANXA1,TNFSF13B,B2M,TNFRSF18,CCR7,LEF1,LGALS1,IL6ST,IL7R
GO: Biological Process	GO:0008284	positive regulation of cell population proliferation	 	1.071E-7	2.350E-4	6.205E-6	5.132E-5	15	1247	S100A6,VIM,TIMP1,ANXA1,ANXA2,TNFSF13B,FOXP1,CCR7,MARCKSL1,LEF1,CTSH,IL6ST,LGALS3,IL7R,TNFRSF4
GO: Biological Process	GO:0040011	locomotion	 	1.075E-7	2.358E-4	6.205E-6	5.132E-5	18	1861	SELL,S100A4,VIM,S100A11,TIMP1,ANXA1,MYO1F,TMSB4X,FOXP1,RPS19,TMSB10,TNFRSF18,CCR6,CCR7,LEF1,CTSH,IL6ST,LGALS3
GO: Biological Process	GO:0002694	regulation of leukocyte activation	 	1.372E-7	3.009E-4	7.716E-6	6.382E-5	12	754	CD27,ANXA1,TNFSF13B,B2M,CCR6,CCR7,LEF1,LGALS1,IL6ST,LGALS3,IL7R,TNFRSF4
GO: Biological Process	GO:0002696	positive regulation of leukocyte activation	 	1.444E-7	3.168E-4	7.920E-6	6.550E-5	10	477	CD27,ANXA1,TNFSF13B,B2M,CCR7,LEF1,LGALS1,IL6ST,IL7R,TNFRSF4
GO: Biological Process	GO:1903131	mononuclear cell differentiation	 	1.953E-7	4.285E-4	1.045E-5	8.644E-5	11	629	CD27,ANXA1,TNFSF13B,B2M,FOXP1,CCR6,CCR7,LEF1,LGALS1,LGALS3,IL7R
GO: Biological Process	GO:2000026	regulation of multicellular organismal development	 	2.113E-7	4.637E-4	1.104E-5	9.131E-5	18	1946	VIM,S100A10,CD27,HOPX,ANXA1,ANXA2,B2M,FOXP1,RPS19,CCR6,CCR7,LEF1,CTSH,YWHAH,LGALS1,IL6ST,LGALS3,IL7R
GO: Biological Process	GO:0050867	positive regulation of cell activation	 	2.231E-7	4.895E-4	1.138E-5	9.416E-5	10	500	CD27,ANXA1,TNFSF13B,B2M,CCR7,LEF1,LGALS1,IL6ST,IL7R,TNFRSF4
GO: Biological Process	GO:0071887	leukocyte apoptotic process	 	2.781E-7	6.102E-4	1.358E-5	1.123E-4	7	187	CD27,ANXA1,FOXP1,CCR7,LGALS3,IL7R,TNFRSF4
GO: Biological Process	GO:0030155	regulation of cell adhesion	 	2.784E-7	6.109E-4	1.358E-5	1.123E-4	13	972	S100A10,CD27,ANXA1,TNFSF13B,B2M,MYO1F,TNFRSF18,CCR7,LEF1,LGALS1,IL6ST,LGALS3,IL7R
GO: Biological Process	GO:0022409	positive regulation of cell-cell adhesion	 	3.135E-7	6.879E-4	1.495E-5	1.237E-4	9	393	CD27,ANXA1,TNFSF13B,B2M,CCR7,LEF1,LGALS1,IL6ST,IL7R
GO: Biological Process	GO:0050865	regulation of cell activation	 	3.336E-7	7.319E-4	1.557E-5	1.288E-4	12	819	CD27,ANXA1,TNFSF13B,B2M,CCR6,CCR7,LEF1,LGALS1,IL6ST,LGALS3,IL7R,TNFRSF4
